PRODUCT_ID,PRODUCT_NO,NAME,ALIAS,STATUS,PRODUCT_LINE_CODE,PRODUCT_GROUP_CODE,PRODUCT_CODE_CODE,Product,SFIA
5114,15035,STRUCTURAL STUD 3-5/8IN 18G 1-5/8IN FL,362S162-43 (18G),1,FRAM,STF,CSJ,15035,362S162-43
5132,15065,STRUCTURAL STUD 6IN 18G 1-5/8IN FL,600S162-43 (18G),1,FRAM,STF,CSJ,15065,600S162-43
30177,261013,ProSTUD20 1-5/8IN DRYWALL STUD,162PDS125-18 (20EQ),1,FRAM,DWF,PROS,261013,162PDS125-18 (20EQ)
30183,261033,ProSTUD20 3-5/8IN DRYWALL STUD,362PDS125-18 (20EQ),1,FRAM,DWF,PROS,261033,362PDS125-18 (20EQ)
30189,261063,ProSTUD20 6IN DRYWALL STUD,600PDS125-18 (20EQ),1,FRAM,DWF,PROS,261063,600PDS125-18 (20EQ)
30193,264013,ProTRAK20 1-5/8IN DW TRACK 1-1/4IN LEG,162PDT125-18 (20EQ),1,FRAM,DWF,PROT,264013,162PDT125-18 (20EQ)
30225,264033,ProTRAK20 3-5/8IN DW TRACK 1-1/4IN LEG,362PDT125-18 (20EQ),1,FRAM,DWF,PROT,264033,362PDT125-18 (20EQ)
30257,264063,ProTRAK20 6IN DRYWALL TRACK 1-1/4IN LEG,600PDT125-18 (20EQ),1,FRAM,DWF,PROT,264063,600PDT125-18 (20EQ)
30197,266013,ProTRAK20 1-5/8IN DRYWALL TRACK 2IN LEG,162PDT200-18 (20EQ),1,FRAM,DWF,PROT,266013,162PDT200-18 (20EQ)
5369,30026,150U50-54(CRC-16G),,1,FRAM,ACC,CRC,30026,150U50-54
17669,37506,CD1-SWE or P1-SU(1-1/8IN SQUARE OUTSIDE),,1,PBT,PABD,CORN,37506,CD1-SWE
17145,43063,6 IN CT SHAFTWALL STUD (20G),600CT-33,1,FRAM,SHAF,CT,43063,600CT-33
17141,43253,2 1/2 IN CT SHAFTWALL STUD (20G),250CT-33,1,FRAM,SHAF,CT,43253,250CT-33
5984,50063,STRAP 6-20GA,,1,FRAM,ACC,STRA,50063,600STRA-30
11020,75035,3 5/8 IN MAXTRAK 18GA,362SLT250-43,1,FRAM,MAX,MAX,75035,362SLT250-43
11052,75065,6 IN MAXTRAK 18GA,600SLT250-43,1,FRAM,MAX,MAX,75065,600SLT250-43
27062,76033,3 5/8 IN MAXTRAK 30MIL,362SLT250-30,1,FRAM,MAX,MAX,76033,362SLT250-30
27066,76063,6 IN MAXTRAK 30MIL,600SLT250-30,1,FRAM,MAX,MAX,76063,600SLT250-30
6317,80035,STR TRACK 3-5/8IN 18G 1-1/4IN LEGS,362T125-43 (18G),1,FRAM,STF,UDLT,80035,362T125-43
6336,80065,STRUCTURAL TRACK 6IN 18G 1-1/4IN LEGS,600T125-43 (18G),1,FRAM,STF,UDLT,80065,600T125-43
17424,94132,2.5IN TABBED J-TRACK 2.25L (20G),250JR-33,1,FRAM,SHAF,TABT,94132,250JR-33
17428,94134,6in TABBED J-TRACK 2.25L (20G),600JR-33,1,FRAM,SHAF,TABT,94134,600JR-33
